BrojPu,Naselje
10360,Dobrodol
10360,Goranec
10360,Hrušćica
10360,Ivanja Reka
10360,Markovo Polje
10360,Popovec
10360,Sesvete
10360,Soblinec
10360,Šašinovec
10360,Šimunčevec
10360,Vugrovec
10360,Vugrovec Gornji
10360,Žerjavinec
10361,Cerje
10361,Čista Mlaka
10361,Drenčec
10361,Dumovec
10361,Glavničica
10361,Novaki Nartski
10361,Otok Nartski
10361,Otok Svibovski
10361,Sop
10361,Struga Nartska
10361,Svibje
10361,Trstenik Nartski
10362,Blaguša
10362,Đurđekovec
10362,Gajec
10362,Kašina
10362,Kašinska Sopnica
10362,Kučilovina
10362,Paruževina
10362,Planina Donja
10362,Planina Gornja
10362,Prekvršje
10362,Prepuštovec
10362,Vurnovec
10362,Adamovec
10362,Belovar
10362,Glavnica Donja
10362,Glavnica Gornja
10362,Jesenovec
10362,Lužan
10362,Moravče
10370,Andrilovec
10370,Božjakovina
10370,Brckovljani
10370,Črnec Dugoselski
10370,Črnec Rugvički
10370,Donja Greda
10370,Donje Dvorišće
10370,Dragošička
10370,Dugo Selo
10370,Gornja Greda
10370,Gornje Dvorišće
10370,Gračec
10370,Hrebinec
10370,Jalševec Nartski
10370,Ježevo
10370,Kopčevec
10370,Kozinščak
10370,Kusanovec
10370,Leprovica
10370,Lukarišće
10370,Lupoglav
10370,Mala Ostrna
10370,Nart Savski
10370,Novaki Oborovski
10370,Obedišće Ježevsko
10370,Oborovo
10370,Okunšćak
10370,Prečec
10370,Preseka Oborovska
10370,Prevlaka
10370,Prikraj
10370,Prozorje
10370,Puhovo
10370,Rugvica
10370,Stančić
10370,Štakorovec
10370,Tedrovec
10370,Velika Ostrna
10380,Banje Selo
10380,Bedenica
10380,Beloslavec
10380,Berislavec
10380,Biškupec Zelinski
10380,Blaškovec
10380,Blaževdol
10380,Bosna
10380,Breg Mokrički
10380,Brezovec Zelinski
10380,Bukevje
10380,Bukovec Zelinski
10380,Bunjak
10380,Curkovec
10380,Črečan
10380,Donja Drenova
10380,Donja Topličica
10380,Donja Zelina
10380,Donje Orešje
10380,Donje Psarjevo
10380,Dubovec Bisaški
10380,Filipovići
10380,Goričanec
10380,Goričica
10380,Gornja Drenova
10380,Gornja Topličica
10380,Gornje Orešje
10380,Gornje Psarjevo
10380,Gornji Vinkovec
10380,Hrastje
10380,Hrnjanec
10380,Kalinje
10380,Keleminovec
10380,Kladešćica
10380,Komin
10380,Krečaves
10380,Križevčec
10380,Laktec
10380,Majkovec
10380,Marinovec Zelinski
10380,Mokrica Tomaševečka
10380,Nespeš
10380,Novakovec Bisaški
10380,Novo Mjesto
10380,Obrež Zelinski
10380,Omamno
10380,Otrčkovec
10380,Paukovec
10380,Polonje
10380,Polonje Tomaševečko
10380,Prepolno
10380,Pretoki
10380,Radoišće
10380,Salnik
10380,Selnica Psarjevačka
10380,Suhodol Zelinski
10380,Sveta Helena
10380,Sveti Ivan Zelina
10380,Šalovec
10380,Šulinec
10380,Šurdovec
10380,Tomaševec
10380,Turkovčina
10380,Velika Gora
10380,Vukovje Zelinsko
10380,Zadrkovec
10380,Zrinšćina
10380,Žitomir
10410,Bapča
10410,Bukevje
10410,Buševec
10410,Cerovski Vrh
10410,Cvetković Brdo
10410,Čret Posavski
10410,Črnkovec
10410,Donja Lomnica
10410,Donje Podotočje
10410,Drenje Šćitarjevsko
10410,Drnek
10410,Dubranec
10410,Gornja Lomnica
10410,Gornje Podotočje
10410,Gradići
10410,Gudci
10410,Gustelnica
10410,Jagodno
10410,Jerebić
10410,Kobilić
10410,Kuče
10410,Lazi Turopoljski
10410,Lazina Čička
10410,Lekneno
10410,Lukavec
10410,Mala Kosnica
10410,Markuševec Turopoljski
10410,Mičevec
10410,Mraclin
10410,Novaki Šćitarjevski
10410,Novo Čiče
10410,Obed
10410,Obrezina
10410,Ogulinec
10410,Okuje
10410,Orle
10410,Petina
10410,Petravec
10410,Petrovina Turopoljska
10410,Poljana Čička
10410,Prvonožina
10410,Rakitovec
10410,Ribnica
10410,Ruča
10410,Sasi
10410,Selnica Šćitarjevska
10410,Sop Bukevski
10410,Staro Čiče
10410,Strmec Bukevski
10410,Stružec Posavski
10410,Suša
10410,Šćitarjevo
10410,Trnje
10410,Turopolje
10410,Veleševec
10410,Velika Gorica
10410,Velika Kosnica
10410,Vrbovo Posavsko
10410,Vukomerić
10410,Vukovina
10410,Zablatje Posavsko
10413,Barbarići Kravarski
10413,Čakanec
10413,Donji Hruševec
10413,Gladovec Kravarski
10413,Gornji Hruševec
10413,Ključić Brdo
10413,Kozjača
10413,Kravarsko
10413,Mala Buna
10413,Novo Brdo
10413,Opatija 49-95;56-68a
10413,Podvornica
10413,Pustike
10413,Šiljakovina
10413,Velika Buna
10413,Žitkovčica
10414,Auguštanovec
10414,Cerje Pokupsko
10414,Cvetnić Brdo
10414,Gladovec Pokupski
10414,Hotnja
10414,Lijevi Degoj
10414,Lijevi Štefanki
10414,Lukinić Brdo
10414,Opatija 1-47;2-54
10414,Pokupsko
10414,Roženica
10414,Strezojevo
10414,Šestak Brdo
10414,Zgurić Brdo
10430,Beder
10430,Bobovica
